,show,dates
0,Sporting Days Farm February H.T. (Feb 2021),02/06/2021-02/06/2021
1,Three Lakes Winter I H.T. at Caudle Ranch(Feb 2021),2/6/2021
2,February 4th: Barnstaple Jackpot + 3-Phase ,02/04/2021-02/04/2021
3,Full Gallop Farm January H.T(Jan 2021),1/30/2021
4,Galway Downs 2021 Kickoff H.T.(Jan 2021),1/29/2021
5,Rocking Horse Winter I H.T.(Jan 2021),01/29/2021-01/31/2021
6,Stable View Aiken Opener H.T.,01/23/2021-01/24/2021
7,Grand Oaks H.T. (Jan 2021),01/23/2021-01/24/2021
8,Full Gallop Farm Schooling Show (Jan 2021),01/17/2021-01/17/2021
9,Pipe Opener 1 - CHP (Jan 2021),01/16/2021-01/16/2021
10,Stable View Winter Combined Test(Jan 2021),01/16/2021-01/16/2021
11,Horse Trials at Majestic Oaks (Jan 2021),01/15/2021-01/17/2021
12,Barnstaple South H.T(Jan 2021),01/09/2021-01/10/2021
13,Full Gallop Farm Schooling Show (Jan 2021),01/03/2021-01/03/2021
14,POP Cross Country Schooling and Schooling Show,12/20/2020-12/20/2020
15,Stable View Eventing Academy Schooling H.T.,12/13/2020-12/13/2020
16,Full Gallop Farm December H.T.(Dec 2020),12/13/2020-12/13/2020
17,Majestic Oaks Schooling Show,12/12/2020-12/12/2020
18,Rocking Horse December H.T.(Dec 2020),12/05/2020-12/06/2020
19,Sporting Days Farm Horse Trials IV(Dec 2020),12/05/2020-12/05/2020
20,December 3rd: Barnstaple Jackpot + 3-Phase,12/03/2020-12/03/2020
21,Pine Top Thanksgiving H.T.(Nov 2020),11/28/2020-11/29/2020
22,Grand Oaks H.T.(Nov 2020),11/21/2020-11/22/2020
23,Rocking Horse December H.T.(Dec 2020),11/19/2020
24,Stable View Eventing Academy Horse Trials (Nov 15),11/15/2020-11/15/2020
25,Morven Park Spring Horse Trials,11/14/2020-11/15/2020
26,Tryon International 3-Day Event(Nov 2020),11/11/2020-11/15/2020
27,Full Gallop Farm Schooling Show (Nov 2020),11/08/2020-11/08/2020
28,Full Moon Farms H.T.(Nov 2020),11/08/2020-11/08/2020
29,Horse Trials at Majestic Oaks (Nov 2020),11/07/2020-11/08/2020
30,Texas Rose Horse Park Fall HT,11/07/2020-11/08/2020
31,War Horse Event Series November H.T.(Nov 2020),11/07/2020-11/08/2020
32,Waredaca November Starter Horse Trials,11/07/2020-11/07/2020
33,November 5th: Barnstaple Jackpot + 3-Phase,11/05/2020-11/05/2020
34,MDHT November Starter Trial,10/31/2020-10/31/2020
35,Plantation Field October Starter Horse Trials,10/31/2020-10/31/2020
36,Rocking Horse Fall H.T.(Oct 2020),10/31/2020-11/01/2020
37,Galway Downs International Event & H.T.(Oct 2020),10/28/2020-11/01/2020
38,The VHT International & H.T.(Oct 2020),10/28/2020-11/01/2020
39,Chattahoochee Hills H.T.(Oct 2020),10/24/2020-10/25/2020
40,Grand Oaks Horse Trials,10/24/2020-10/25/2020
41,Holly Hill H.T.(Oct 2020),10/24/2020-10/25/2020
42,Waredaca Classic Three Day Event (Oct 2020),10/22/2020-10/25/2020
43,Waredaca Classic Horse Trials (Oct 2020),10/22/2020-10/25/2020
44,POP XC Schooling and Schooling Show(Oct),10/18/2020-10/18/2020
45,Stable View Eventing Academy Schooling H.T.,10/18/2020-10/18/2020
46,Will O'Wind Horse Trials,10/18/2020-10/18/2020
47,"MDHT/HCS, USA Saddlery October Starter Trial ",10/17/2020-10/18/2020
48,Chagrin Valley Farms,10/17/2020-10/18/2020
49,Fair Hill Starter Horse Trials ,10/17/2020-10/17/2020
50,Hunt Club Farms H.T.(Oct 2020),10/17/2020-10/17/2020
51,Silverwood Farm Fall HT,10/17/2020-10/17/2020
52,Tryon Riding & Hunt Club H.T.,10/17/2020-10/18/2020
53,War Horse Event Series October H.T.(Oct 2020),10/11/2020-10/11/2020
54,Glenarden Farms Horse Trials,10/10/2020-10/10/2020
55,Radnor Hunt Horse Trials,10/10/2020-10/10/2020
56,Ocala Fall HT(Oct 2020),10/10/2020-10/11/2020
57,Maryland Horse Trials and Area II Championships,10/09/2020-10/11/2020
58,Woodside International H.T.(Oct 2020),10/08/2020-10/11/2020
59,Bath Pony Club Mini Trial,10/04/2020-10/04/2020
60,Horse Trials at Majestic Oaks ,10/03/2020-10/04/2020
61,CCI - S Bromont Horse Trials ,10/03/2020-10/04/2020
62,Horse Trials at Majestic Oaks ,10/03/2020-10/03/2020
63,WindRidge Farm Fall H.T.(Oct 2020),10/03/2020-10/04/2020
64,Morven Park Fall International H.T. & CCIS,10/02/2020-10/04/2020
65,Poplar Place Farm H.T.  & Area Championships,10/02/2020-10/04/2020
66,ESDCTA New Jersey H.T. at the Horsepark,09/27/2020-09/27/2020
67,Full Moon Farms Starter H.T. ,09/27/2020-09/27/2020
68,Silverwood Farm Unrecognized H.T.,09/27/2020-09/27/2020
69,Fleur de Leap Horse Trials,09/26/2020-09/27/2020
70,Larkin Hill HT,09/26/2020-09/27/2020
71,Barnstaple South Jackpot and 3-Phase (Sept. 24),09/24/2020-09/24/2020
72,Stable View Oktoberfest 1/ 2/3/4* and H.T.,09/24/2020-09/27/2020
73,Full Gallop Farm Sept. Schooling HT,09/20/2020-09/20/2020
74,Apple Knoll Farm H.T.(Sep 2020),09/19/2020-09/19/2020
75,Grandview Fall Horse Trials,09/19/2020-09/23/2020
76,Meadowcreek Park HT-The Fall Social Event,09/19/2020-09/20/2020
77,Plantation Field International CCI-S(Sep 2020),09/16/2020-09/20/2020
78,Glen Oro Autumn Horse Trials,09/13/2020-09/13/2020
79,MDHT September Starter,09/12/2020-09/13/2020
80,Flora Lea Fall H.T. (Sep 2020),09/12/2020-09/13/2020
81,GMHA September H.T.(Sep 2020),09/12/2020-09/13/2020
82,Ocala Summer H.T. I(Sep 2020) RESCHEDULED ,09/12/2020-09/13/2020
83, Otter Creek Fall H.T. (Sep 2020),09/11/2020-09/13/2020
84,Blue Ridge Mountain Horse Trials at TIEC(Sep 2020),09/11/2020-09/13/2020
85,Dreamcrest Horse Trials,09/06/2020-09/06/2020
86,Course Brook Farm Horse Trials,09/05/2020-09/05/2020
87,Fair Hill Starter Horse Trials ,09/05/2020-09/05/2020
88,Five Points Horse Trials,09/05/2020-09/06/2020
89,Majestic Oaks Schooling Show,09/05/2020-09/05/2020
90,GMHA Starter Horse Trials (Aug 2020),08/30/2020-08/30/2020
91,Stevens Creek Horse Trials(Aug 2020),08/30/2020-08/30/2020
92,Chattahoochee Hills H.T. (Aug 2020),08/29/2020-08/30/2020
93,Silverwood Farm Fall H.T.(Aug 2020),08/29/2020-08/29/2020
94,War Horse Event Series (Aug 2020),08/23/2020-08/23/2020
95,POP XC Schooling and Schooling Show ,08/23/2020-08/23/2020
96,Chagrin Valley Farms,08/22/2020-08/23/2020
97,"MDHT/HCS, USA Saddlery August Starter Trial ",08/22/2020-08/23/2020
98,Town Hill Farm Horse Trials(Aug 2020),08/22/2020-08/23/2020
99,Wits End Horse Trials,08/22/2020-08/23/2020
100,Bath Pony Club Mini Trial,08/16/2020-08/16/2020
101,Full Gallop Farm August HT(Aug 2020),08/15/2020-08/16/2020
102,Ocala Summer H.T. II(Aug 2020),08/15/2020-08/16/2020
103,Waredaca Farm H.T.(Aug 2020),08/15/2020-08/16/2020
104,Will O' Wind August Horse Trials,8/15/2020
105,Stable View Eventing Academy Schooling H.T.,08/09/2020-08/09/2020
106,Fair Hill International August Horse Trials,08/08/2020-08/09/2020
107,Majestic Oaks Schooling Horse Trials,08/08/2020-08/08/2020
108,Windridge Farm Summer HT,08/08/2020-08/09/2020
109,Spring Gulch Horse Trials,08/08/2020-08/09/2020
110,GMHA Festival of Eventing August Horse Trials(Aug ,08/07/2020-08/09/2020
111,Otter Creek Summer HT,08/07/2020-08/09/2020
112,The Summer Event at Woodside (Aug 2020),08/06/2020-08/09/2020
113,Hunt Club Farms H.T.(Jul 2020),07/25/2020-07/25/2020
114,FENCE Horse Trial ,07/25/2020-07/26/2020
115,Glenarden Farms Horse Trials,07/25/2020-07/26/2020
116,Waredaca Starter Horse Trials ,07/25/2020-07/25/2020
117,Horse Park of New Jersey H.T. II,07/24/2020-07/26/2020
118,Virginia Horse Trials,07/20/2020-07/24/2020
119,Stableview Eventing Academy- July,07/19/2020-07/19/2020
120,Course Brook Farm Horse Trials,07/18/2020-07/19/2020
121,Full Moon Farms H.T.(Jul),07/18/2020-07/19/2020
122,Silverwood Farm Summer Horse Trials,07/18/2020-07/18/2020
123,Grandview Summer Horse Trials,07/18/2020-07/19/2020
124,Galway Downs Horse Trials (July 2020),07/17/2020-07/19/2020
125,POP XC Schooling and Schooling Show (July),07/12/2020-07/12/2020
126,Chagrin Valley Farms,07/11/2020-07/12/2020
127,Poplar Place Farm May H.T.(JULY 2020),07/11/2020-07/12/2020
128,War Horse Event Series (July 2020),07/11/2020-07/12/2020
129,Maryland H.T. at Loch Moy Farm II(Jul 2020),07/10/2020-07/12/2020
130,Larkin Hill HT,07/04/2020-07/05/2020
131,Spring Gulch Horse Trials,07/04/2020-07/05/2020
132,Will O'Wind Horse Trials,07/04/2020-07/05/2020
133,Maryland International + Horse Trials(Jul 2020),07/03/2020-07/05/2020
134,Chatt Hills HT Summer 2 ,07/03/2020-07/05/2020
135,Full Gallop Farm Schooling Show (June2020),06/28/2020-06/28/2020
136,Chattahoochee Hills HT Summer 1,06/27/2020-06/28/2020
137,Horse Park of New Jersey H.T. I,06/27/2020-06/28/2020
138,Texas Rose Horse Park H.T.,06/19/2020-06/21/2020
139,Stable View Horse Trials (June),06/19/2020-06/21/2020
140,Surefire Farm Horse Trials ,06/19/2020-06/21/2020
141,Full Gallop Farm HT,06/14/2020-06/14/2020
142,POP Cross Country Schooling and Schooling Show,06/14/2020-06/14/2020
143,Silverwood Farm Spring Horse Trials,06/13/2020-06/13/2020
144,War Horse Event Series (June 2020),06/13/2020-06/14/2020
145,Waredaca H.T.(June 2020),06/13/2020-06/14/2020
146,Plantation Field June Starter Horse Trials,06/07/2020-06/07/2020
147,Plantation Field H.T.(June 2020),06/06/2020-06/06/2020
148,Feather Creek Farm H.T.(June 2020),06/06/2020-06/07/2020
149,Majestic Oaks June Schooling Show,06/06/2020-06/06/2020
150,Sweet Dixie South Schooling Series,06/03/2020-06/03/2020
151,Full Gallop Farm Schooling Show (May 2020),05/30/2020-05/30/2020
152,Holly Hill May Schooling Show,05/30/2020-05/31/2020
153,MDHT May Starter Trial,05/23/2020-05/24/2020
154,Stable View Eventing Academy Schooling HorseTrial,05/23/2020-05/24/2020
155,MDHT April Starter Trial,04/11/2020-04/12/2020
156,Chattahoochee Hills April Horse Trials,04/03/2020-04/05/2020
157,The Fork at TIEC (Apr 2020),04/02/2020-04/05/2020
158,Full Gallop Farm HT,03/28/2020-03/29/2020
159,Designer Builders Stable View Spring CCI-S,03/27/2020-03/28/2020
160,Galway Downs International H.T.(Mar 2020),03/27/2020-03/29/2020
161,Texas Rose Horse Park H.T.(Mar 2020),03/27/2020-03/29/2020
162,Full Gallop Farm Schooling Show (March 22nd 2020),03/22/2020-03/22/2020
163,Cedar Run August,3/22/2020
164,MDHT March Starter Trial,03/21/2020-03/22/2020
165,Poplar Place Farm March Horse Trials,03/21/2020-03/22/2020
166,Carolina International CCI and H.T.(Mar 2020),03/18/2020-03/22/2020
167,Charity Schooling Horse Trials(Horses for Healing),03/15/2020-03/15/2020
168,Meadow Creek Park - The Spring Social Event,03/13/2020-03/15/2020
169,Pine Top Spring Horse Trials,03/13/2020-03/15/2020
170,Ocala Winter II H.T.(Mar 2020),03/12/2020-03/15/2020
171,Full Gallop Farm Schooling Show (March 11),03/11/2020-03/11/2020
172,Southern Pines Horse Trials - CHP (Mar 2020),03/07/2020-03/08/2020
173,Full Gallop Farm March H.T.,03/07/2020-03/08/2020
174,WindRidge Farm 2019-2020 Eventing Series (March),03/07/2020-03/07/2020
175,Red Hills International Horse Trial ,03/06/2020-03/08/2020
176,Chattahoochee Hills H.T.(Feb 2020),02/29/2020-03/01/2020
177,Sporting Days Farm Horse Trials,02/29/2020-03/01/2020
178,Eventing Grand-Prix at Bruce's Field,02/28/2020-02/29/2020
179,Rocking Horse Winter III Horse Trials,02/28/2020-03/01/2020
180,Full Gallop Farm February II H.T.(Feb 2020),02/25/2020-02/26/2020
181,Three Lakes Winter II HT ,02/22/2020-02/23/2020
182,Pine Top Advanced Horse Trials,02/21/2020-02/23/2020
183,Stable View Eventing Academy Schooling H.T.,02/17/2020-02/17/2020
184,Pipe Opener 2 - CHP (Feb 2020),02/15/2020-02/15/2020
185,Paradise Farm Horse Trials,02/14/2020-02/16/2020
186,Rocking Horse Winter 2 Horse Trials,02/13/2020-02/16/2020
187,Full Gallop February Schooling HT,02/12/2020-02/12/2020
188,Wellington Eventing Showcase,02/08/2020-02/09/2020
189,Pine Top Intermediate Horse Trials,02/07/2020-02/09/2020
190,Ocala Winter I Horse Trials,02/06/2020-02/09/2020
191,Full Gallop Farm February Horse Trials,02/05/2020-02/05/2020
192,Three Lakes Winter 1,02/01/2020-02/02/2020
193,Sporting Days Farm Feb. HT,02/01/2020-02/01/2020
194,Galway Downs Winter H.T.(Jan 2020),01/31/2020-02/02/2020
195,Full Gallop Farm January H.T(Jan 2020),01/26/2020-01/26/2020
196,Rocking Horse Winter I H.T.(Jan 2020),01/24/2020-01/26/2020
197,Grand Oaks Horse Trials(Jan 2020),01/18/2020-01/19/2020
198,Stable View Aiken Opener H.T.,01/18/2020-01/19/2020
199,Pipe Opener 1 - CHP (Jan 2020),01/11/2020-01/11/2020
200,Stable View Winter CT - Jan,01/11/2020-01/11/2020
201,Full Gallop Farm January Schooling Show,01/05/2020-01/05/2020
202,Stable View Eventing Academy (December),12/15/2019-12/15/2019
203,Full Gallop Farm December Schooling Show ,12/15/2019-12/15/2019
204,POP XC Schooling and Schooling Show (Dec),12/14/2019-12/15/2019
205,Sporting Days Farm Horse Trials IV(Dec 2019),12/07/2019-12/08/2019
206,Windridge Eventing Weekends-Dec,12/07/2019-12/07/2019
207,Pine Top Thanksgiving Horse Trials,11/30/2019-12/01/2019
208,Grand Oaks Horse Trials,11/23/2019-11/24/2019
209,Stable View Schooling Horse Trial(November),11/17/2019-11/17/2019
210,Ocala Jockey Club International 3-Day Event,11/14/2019-11/17/2019
211,Full Moon Farms H.T.(Nov. 2019),11/10/2019-11/10/2019
212,War Horse Event Series (November 2019),11/09/2019-11/10/2019
213,Majestic Oaks Horse Trials,11/09/2019-11/10/2019
214,Texas Rose Horse Park Fall HT,11/09/2019-11/10/2019
215,Full Gallop Farm November HT,11/03/2019-11/03/2019
216,Rocking Horse Fall Horse Trials,11/02/2019-11/03/2019
217,MDHT November Starter Trial,11/02/2019-11/03/2019
218,Plantation Field Nov. Starter Horse Trials,11/02/2019-11/02/2019
219,The VHT International H.T.(Oct 2019),10/31/2019-11/03/2019
220,Galway Downs International Event & H.T. (Nov 2019),10/31/2019-11/03/2019
221,Chattahoochee Hills H.T.(Oct 2019),10/26/2019-10/27/2019
