Event,Lon,Lat,temp-end,precip-end,wspd-end,visibility-end,cloudcover-end,moonphase-end,Precip_Prior_3_Day,Precip_Prior_5_Day,Precip_Prior_7_Day
Full Moon Farms H.T.(Nov 2020),-76.91386,39.4572,59.9,0.0,4.9,9.8,3.2,0.72,0.0,0.0,0.19
Horse Trials at Majestic Oaks (Nov 2020),-82.21323000000002,29.40346,74.7,0.0,16.2,9.7,54.1,0.67,0.0,0.01,0.18000000000000002
November 5th: Barnstaple Jackpot + 3-Phase,-82.21323000000002,29.40346,69.9,0.0,12.6,9.8,35.1,0.59,0.01,0.18000000000000002,0.23000000000000004
Galway Downs International Event & H.T.(Oct 2020),-117.03396,33.48728,60.7,0.0,8.4,9.7,0.0,0.44,0.06,0.06,0.06
Chattahoochee Hills H.T.(Oct 2020),-84.71646,33.63024,68.2,2.75,6.6,7.9,72.5,0.27,0.0,0.0,0.0
Grand Oaks Horse Trials,-82.21323000000002,29.40346,64.1,0.14,13.4,8.7,25.5,0.92,0.0,0.0,0.01
Waredaca Classic Horse Trials (Oct 2020),-77.08061,39.23332,66.3,0.01,7.9,5.5,30.1,0.17,0.0,0.0,0.1
Stable View Eventing Academy Schooling H.T.,-81.79998,33.64859000000001,81.2,0.0,11.6,9.5,3.9,0.63,1.51,3.29,4.7
War Horse Event Series October H.T.(Oct 2020),-79.36633,35.01506,70.3,1.14,9.3,7.4,94.7,0.81,0.04,0.04,0.04
Glenarden Farms Horse Trials,-83.84456999999998,42.36583,72.6,0.0,6.2,8.5,9.2,0.11,0.0,0.6,1.66
Woodside International H.T.(Oct 2020),-122.24548,37.40747,60.7,0.0,10.6,8.0,96.4,0.66,0.0,0.0,0.0
Bath Pony Club Mini Trial,-84.5168,38.15169,55.7,0.03,14.4,9.9,68.2,0.52,0.0,0.28,0.52
Morven Park Fall International H.T. & CCIS,-77.55527,39.14542,55.5,0.09,14.4,9.9,42.7,0.5,0.42,0.4300000000000001,0.7400000000000001
ESDCTA New Jersey H.T. at the Horsepark,-74.49821,40.19321,70.2,0.0,8.9,7.4,81.1,0.39,0.07,0.07,0.07
Larkin Hill HT,-73.64431,42.47909,63.1,0.0,12.7,7.1,45.3,0.35,0.0,0.0,0.0
Barnstaple South Jackpot and 3-Phase (Sept. 24),-82.21323000000002,29.40346,77.7,0.0,11.5,9.9,25.4,0.25,0.01,0.12,0.75
Stable View Oktoberfest 1/ 2/3/4* and H.T.,-81.79998,33.64859000000001,77.9,0.0,8.8,8.4,24.9,0.98,0.0,0.0,0.0
Full Gallop Farm Sept. Schooling HT,-81.58405,33.57045,80.9,0.0,10.6,9.9,10.2,0.34,0.0,0.0,0.19
Apple Knoll Farm H.T.(Sep 2020),-70.57221,41.86124,52.7,0.0,16.9,9.8,10.8,0.02,0.04,0.04,0.04
Plantation Field International CCI-S(Sep 2020),-75.78744,39.90874,52.7,0.0,16.9,9.8,10.8,0.02,0.04,0.04,0.04
Course Brook Farm Horse Trials,-71.39974000000002,42.25229,77.7,0.0,9.9,7.7,20.4,0.96,0.18,0.51,0.54
Majestic Oaks Schooling Show,-82.21323000000002,29.40346,58.9,0.02,5.5,8.8,74.4,0.95,0.0,0.15,0.35
GMHA Starter Horse Trials (Aug 2020),-72.53926,43.55708,63.1,0.0,11.0,9.9,67.1,0.45,0.8300000000000001,1.32,1.59
Chattahoochee Hills H.T. (Aug 2020),-84.70005,33.63993,80.5,0.0,12.2,9.7,63.5,0.41,0.08,1.57,1.61
War Horse Event Series (Aug 2020),-79.36633,35.01506,77.8,0.04,10.5,9.7,45.4,0.1,0.24,1.13,1.2600000000000002
Full Gallop Farm August HT(Aug 2020),-81.58405,33.57045,78.7,0.41,12.3,8.7,53.1,0.91,0.64,1.69,1.8
Fair Hill International August Horse Trials,-75.86013,39.70171,74.7,0.0,5.2,9.6,34.1,0.59,2.52,6.48,6.49
The Summer Event at Woodside (Aug 2020),-122.24548,37.40747,63.3,0.0,17.5,8.5,60.6,0.53,0.02,0.02,0.02
Horse Park of New Jersey H.T. II,-74.49821,40.19321,75.2,1.22,9.1,9.5,61.0,0.07,0.39,0.39,0.39
Stableview Eventing Academy- July,-81.79998,33.64859000000001,86.9,0.0,6.5,9.8,5.1,0.99,0.0,0.0,0.0
Silverwood Farm Summer Horse Trials,-88.15521,42.53547,77.4,0.39,15.6,9.6,45.5,0.54,1.5499999999999998,1.5499999999999998,1.5499999999999998
Galway Downs Horse Trials (July 2020),-117.03396,33.48728,71.0,0.0,11.1,9.2,14.5,0.93,0.0,0.0,0.0
Poplar Place Farm May H.T.(JULY 2020),-84.86506999999997,32.7023,84.7,0.0,14.8,9.9,0.7,0.66,0.27,1.98,2.03
Maryland H.T. at Loch Moy Farm II(Jul 2020),-77.42949,39.27075,78.5,0.0,8.0,9.9,38.8,0.62,1.09,1.65,1.65
Full Gallop Farm Schooling Show (June2020),-81.58405,33.57045,79.6,0.07,21.0,9.9,37.6,0.23,2.14,3.41,3.44
Chattahoochee Hills HT Summer 1,-84.70005,33.63993,74.1,0.46,22.4,8.5,38.3,0.17,0.51,1.07,1.14
Horse Park of New Jersey H.T. I,-74.49821,40.19321,78.9,0.02,8.8,9.8,11.0,0.88,0.61,0.61,1.01
Texas Rose Horse Park H.T.,-95.50306,32.47226,81.4,0.0,13.6,9.9,9.1,0.98,0.02,0.21,0.21
Full Gallop Farm HT,-85.52320999999998,38.42696,68.9,0.07,11.1,9.9,44.0,0.79,0.0,0.11,0.11
Silverwood Farm Spring Horse Trials,-88.15521,42.53547,56.3,0.0,14.0,9.9,16.4,0.74,0.55,0.74,0.74
Feather Creek Farm H.T.(June 2020),-97.331,35.23746,52.7,0.0,16.9,9.8,10.8,0.02,0.04,0.04,0.04
Full Gallop Farm Schooling Show (May 2020),-81.58405,33.57045,77.4,0.74,12.3,9.0,49.2,0.24,0.56,0.92,1.4500000000000002
Stable View Eventing Academy Schooling HorseTrial,-81.79998,33.64859000000001,76.9,0.33,13.0,9.7,18.2,0.0,0.92,5.57,5.57
Meadow Creek Park - The Spring Social Event,-96.6406,31.26988,50.1,0.0,7.9,9.9,27.9,0.34,1.45,1.47,1.63
Pine Top Spring Horse Trials,-96.23961,29.95875,55.6,0.0,15.7,9.9,38.5,0.28,0.6,0.6,0.6
Ocala Winter II H.T.(Mar 2020),-82.13986,29.05603,68.4,0.0,5.7,9.7,10.2,0.54,0.0,0.0,0.03
Full Gallop Farm Schooling Show (March 11),-81.58405,33.57045,64.2,0.0,19.0,9.6,30.4,0.52,0.0,0.0,1.8
Full Gallop Farm March H.T.,-81.58405,33.57045,43.2,0.0,14.2,9.9,0.2,0.45,1.8,2.88,2.88
Chattahoochee Hills H.T.(Feb 2020),-84.71646,33.63024,44.8,0.0,21.4,9.9,13.3,0.12,0.02,1.06,1.06
Full Gallop Farm February II H.T.(Feb 2020),-81.58405,33.57045,59.1,0.33,18.3,8.1,79.9,0.01,0.37,1.11,2.52
Pine Top Advanced Horse Trials,-82.46623000000002,33.45322,57.2,0.05,11.0,4.1,92.5,0.54,0.24,0.41,0.9
Rocking Horse Winter 2 Horse Trials,-81.64143,28.99305,58.0,0.01,9.6,9.9,3.2,0.31,0.4400000000000001,0.66,0.66
Full Gallop February Schooling HT,-81.58405,33.57045,65.6,0.0,8.8,8.1,64.4,0.55,0.17,0.18000000000000002,2.62
Pine Top Intermediate Horse Trials,-82.46623000000002,33.45322,62.3,0.0,16.7,9.9,18.9,0.04,0.0,0.0,0.0
Ocala Winter I Horse Trials,-82.13986,29.05603,75.3,0.21,31.2,9.8,72.2,0.43,0.0,0.05,0.05
Full Gallop Farm February Horse Trials,-81.58405,33.57045,63.6,0.39,12.2,9.2,64.9,0.39,0.0,1.09,1.1900000000000002
Three Lakes Winter 1,-81.83154,28.61913,66.5,0.01,10.2,9.8,71.2,0.97,0.0,0.2,1.67
Sporting Days Farm Feb. HT,-72.56326,43.81005,25.8,0.02,5.3,9.6,94.3,0.99,0.01,0.13,0.15
Galway Downs Winter H.T.(Jan 2020),-117.03396,33.48728,59.4,0.0,8.2,9.9,1.4,0.15,0.0,0.0,0.0
Full Gallop Farm January H.T(Jan 2020),-81.58405,33.57045,44.5,0.0,10.7,9.9,24.7,0.01,0.62,0.62,0.79
Rocking Horse Winter I H.T.(Jan 2020),-81.64143,28.99305,65.0,0.0,9.5,8.6,54.3,1.0,0.02,0.02,0.02
Grand Oaks Horse Trials(Jan 2020),-82.21323000000002,29.40346,63.5,0.0,11.9,9.7,21.1,0.78,0.0,0.0,0.01
Stable View Aiken Opener H.T.,-81.79998,33.64859000000001,43.7,0.0,12.2,9.3,10.4,0.35,0.11,0.13,0.14
Full Gallop Farm January Schooling Show,-81.58405,33.57045,42.0,0.0,11.9,9.9,0.0,0.33,0.8,0.8,1.27
Sporting Days Farm Horse Trials IV(Dec 2019),-81.59201,33.521390000000004,52.6,0.0,10.0,9.9,57.9,0.37,0.0,0.0,0.46
Pine Top Thanksgiving Horse Trials,-82.46623000000002,33.45322,58.6,0.0,6.9,9.9,51.2,0.06,0.02,0.02,0.59
Stable View Schooling Horse Trial(November),-81.79998,33.64859000000001,49.4,0.0,15.8,9.7,57.7,0.61,1.61,1.76,1.76
Ocala Jockey Club International 3-Day Event,-82.13986,29.05603,63.0,0.01,10.3,8.8,79.3,0.52,0.08,0.36000000000000004,0.48
Majestic Oaks Horse Trials,-82.21323000000002,29.40346,62.7,0.0,11.4,9.9,66.0,0.14,0.0,0.0,0.0
Full Gallop Farm November HT,-81.58405,33.57045,48.1,0.0,14.7,9.8,0.1,0.18,0.03,0.35,0.42
Galway Downs International Event & H.T. (Nov 2019),-117.03396,33.48728,59.8,0.0,10.7,9.9,0.3,0.05,0.0,0.0,0.0
Chattahoochee Hills H.T.(Oct 2019),-84.70005,33.63993,70.6,0.15,11.9,9.3,84.8,0.97,0.07,0.24,1.46
Waredaca Classic Horse Trials,-77.08061,39.23332,52.7,0.0,8.8,9.9,0.1,0.89,0.58,1.78,1.97
Fair Hill International CCI****/***,-79.36633,35.01506,62.7,0.5,10.6,7.8,73.9,0.53,1.5,1.5,1.5
War Horse Event Series (October 2019),-79.36633,35.01506,69.7,1.45,11.1,9.2,70.3,0.5,0.0,0.01,0.09
MDHT at Loch Moy Farm Classic BN3 Day Event & H.T.,-77.42949,39.27075,59.6,0.0,8.1,9.9,4.2,0.46,0.22,0.26,0.26
Kent School Fall H.T.(Oct 2019),-72.7383,41.5735,56.5,0.0,13.5,9.9,81.8,0.27,0.35,0.6799999999999999,0.6799999999999999
Windridge Farm Fall HT,-81.82851,35.22747000000001,66.3,0.12,12.2,9.7,80.3,0.22,0.0,0.09,0.09
Morven Park Fall International H.T. & CCIS-2/3/4*,-77.55527,39.14542,67.9,0.0,15.2,9.6,35.0,0.16,0.0,0.51,0.51
Woodside International H.T.(Oct 2019),-122.24548,37.40747,56.3,0.0,19.6,9.6,11.9,0.12,0.01,0.01,0.01
Surefire Horse Trials,-77.76337,39.05034000000001,73.1,0.02,10.3,9.9,40.1,1.0,0.01,0.03,0.03
Apple Knoll Farm H.T.(Sep 2019),-70.57221,41.86124,66.5,0.0,7.3,9.9,0.0,0.7,0.0,0.0,0.27
Feather Creek Farm H.T.(Sept 2019),-97.331,35.23746,52.7,0.0,16.9,9.8,10.8,0.02,0.04,0.04,0.04
Plantation Field International,-75.78744,39.90874,60.2,0.0,7.7,9.9,2.3,0.56,0.17,0.18000000000000002,0.39
Blue Ridge Mountain Horse Trials at TIEC(Sep 2019),-82.0669,35.28265,75.9,0.09,5.1,8.7,61.9,0.5,0.1,0.23,0.23
Course Brook Farm Fall Horse Trials,-71.39974000000002,42.25229,64.6,0.12,15.8,9.1,76.4,0.3,0.14,0.61,0.61
Hunt Club Farms-Eventing For The Cure!,-78.03623,39.19103,72.0,0.0,6.7,9.9,26.5,0.0,0.42,0.45,0.45
Chattahoochee Hills H.T. (Aug 2019),-84.70005,33.63993,76.4,0.0,13.3,9.9,5.5,1.0,0.42,0.63,0.86
Town Hill Farm Horse Trials(Aug 2019),-73.43115999999998,41.93681,66.5,0.02,9.3,9.8,19.9,0.72,1.09,1.58,2.44
Full Gallop Farm August HT(Aug 2019),-81.58405,33.57045,79.9,0.27,12.1,8.9,48.9,0.51,2.8,2.8,3.14
Catalpa Corner Charity Horse Trial,-91.41017,41.71473,76.8,0.0,8.4,9.9,0.0,0.03,0.0,0.2,0.24
Millbrook H.T.(Aug 2019),-73.61338,41.86105,71.8,0.0,8.1,8.7,7.0,1.0,0.13,0.13,0.13
Fair Hill International June Starter HT,-75.86013,39.70171,76.2,0.36,12.7,9.8,5.8,0.92,0.03,0.03,0.03
Stable View Summer Horse Trials,-81.79998,33.64859000000001,76.3,0.12,27.5,9.7,15.1,0.6,0.22,0.41,0.41
Essex Horse Trials,-74.63613000000002,40.68475,70.8,0.34,16.6,8.5,49.0,0.56,1.43,1.45,1.45
Fox River Valley Pony Club HT,-88.22379000000002,42.14542,62.5,0.34,13.5,8.8,72.9,0.53,0.09,0.32,0.52
Full Gallop Farm June Horse Trials,-81.58405,33.57045,70.8,0.0,5.8,9.9,0.2,0.47,0.85,1.46,3.66
Plantation Field June Starter Horse Trials,-75.78744,39.90874,67.7,0.0,10.1,9.9,4.1,0.51,1.12,1.4600000000000002,1.4600000000000002
Plantation Field H.T.(June 2019),-75.78744,39.90874,68.5,0.0,15.5,9.8,0.3,0.13,0.12,0.12,0.34
Feather Creek Farm H.T.(Aug 2019),-97.331,35.23746,52.7,0.0,16.9,9.8,10.8,0.02,0.04,0.04,0.04
Stable View Spring Horse Trials,-81.79998,33.64859000000001,74.1,0.03,10.0,9.4,59.3,0.04,0.02,0.02,0.02
Full Gallop Farm June Schooling Show,-81.58405,33.57045,77.5,0.0,14.1,9.9,21.6,0.99,0.0,0.0,0.0
Poplar Place Farm June HT & Area Championships,-84.86506999999997,32.7023,82.0,0.0,14.9,9.8,21.3,0.94,0.0,0.0,0.0
Flora Lea Spring Horse Trials,-74.81492,39.89668,64.2,0.0,9.1,9.9,36.2,0.68,0.09,0.09,0.09
Chattahoochee Hills May H.T.,-84.70005,33.63993,76.1,0.0,7.8,9.8,17.6,0.5,0.0,0.01,1.29
Otter Creek Spring H.T.(May 2019),-91.89656,45.10324,56.0,0.0,11.9,9.9,20.7,0.48,0.46,0.46,0.47
Galway Downs Spring Horse Trials (2019),-117.03396,33.48728,57.7,0.09,6.8,9.9,55.3,0.14,0.08,0.28,0.28
Jersey Fresh International Three-day Event,-74.49821,40.19321,61.0,0.46,9.7,9.5,65.8,0.05,1.75,1.8,1.8
Fair Hill International May Starter HT,-75.86013,39.70171,63.9,0.0,8.9,5.0,47.4,1.0,0.03,0.06999999999999999,0.09
Loudoun Hunt Pony Club Spring Horse Trial (April 2,-77.55527,39.14542,59.7,0.0,27.3,9.9,23.7,0.76,0.51,0.51,0.52
Long Leaf Pine Horse Trials - CHP,-79.36633,35.01506,56.3,0.1,19.1,9.9,65.3,0.5,0.39,0.63,1.65
Fair Hill International April Horse Trials,-75.86013,39.70171,67.9,0.13,18.9,9.5,40.1,0.5,0.0,0.33,0.6699999999999999
Stable View Schooling Horse Trial,-81.79998,33.64859000000001,71.6,0.11,20.5,9.9,81.1,0.32,0.23,1.83,2.96
FENCE Horse Trial (April 2019),-82.17685,35.19682,52.7,0.0,16.9,9.8,10.8,0.02,0.04,0.04,0.04
Ocala International 3-Day Festival of Eventing,-82.13986,29.05603,71.8,0.02,7.4,9.6,48.6,0.11,0.36,1.0299999999999998,1.0599999999999998
Full Moon Farms 2019 Spring Thing,-76.91386,39.4572,58.7,0.01,11.9,9.7,61.7,0.01,0.08,0.1,0.12
Chattahoochee Hills H.T. (April 2019),-84.70005,33.63993,64.3,0.18,11.0,9.2,71.4,1.0,0.06,0.16999999999999998,0.16999999999999998
The Fork at Tryon (April 2019),-82.0669,35.28265,53.3,0.0,6.6,9.8,1.3,0.98,0.08,0.08,0.08
Full Gallop Farm March II H.T. (2019),-81.58405,33.57045,60.1,0.01,18.2,9.8,30.9,0.88,0.0,0.09,0.58
Morven Park Spring Horse Trials,-77.55527,39.14542,45.1,0.0,8.6,9.9,9.7,0.99,1.48,1.48,1.48
Galway Downs International Event and H.T. (2019),-117.03396,33.48728,55.2,0.0,8.1,9.8,2.6,0.79,0.0,0.0,0.01
Poplar Place March Horse Trials (2019),-84.86506999999997,32.7023,56.6,0.0,5.7,9.7,0.0,0.53,0.0,0.0,0.0
Stable View Spring Horse Trials (2019),-81.79998,33.64859000000001,48.0,0.0,13.0,9.9,0.0,0.47,0.0,0.0,0.0
Ocala Winter II Horse Trials,-82.13986,29.05603,71.4,0.0,12.5,9.9,24.2,0.23,0.0,0.0,0.0
Full Gallop Farm March I HT,-81.58405,33.57045,56.3,0.0,10.0,6.9,69.6,0.03,0.0,0.11,0.91
Red Hills International Horse Trial (March 2019),-84.30026,30.53853,43.6,0.0,18.3,9.9,10.2,1.0,0.8400000000000001,2.76,3.01
Full Gallop Farm February H.T.,-81.58405,33.57045,57.7,0.0,9.0,9.3,57.7,0.78,0.21,0.21,0.5700000000000001
Paradise Farm Horse Trials (February 2019),-81.55785,33.57801,54.3,0.07,12.0,9.4,66.6,0.36,0.23,0.38,0.38
Galway Downs Winter Horse Trials,-117.03396,33.48728,51.4,0.26,7.3,8.9,39.4,0.94,1.05,1.05,1.05
Full Gallop Farm January HT,-81.58405,33.57045,39.6,0.0,11.3,9.9,1.5,0.71,1.16,1.2,1.62
Rocking Horse Winter 1 HT,-81.64143,28.99305,49.9,0.0,12.6,9.9,19.8,0.6,0.53,0.74,0.74
Full Gallop Farm Nov HT,-81.58405,33.57045,52.8,0.02,10.7,9.8,40.9,0.93,0.54,0.54,0.54
Horse Trials at Majestic Oaks (Jan 2020),-82.21323000000002,29.40346,72.6,0.0,16.0,9.3,69.8,0.5,0.0,0.0,0.54
