Division,Event,Rider,Horse,Dress Score,Dress Place,Stad Jump,Stad Time,To Date Score,To Date Place,XC Jump,XC Elapsed,XC Time,Final Score,Final Place,dates,Start_Date,End_Date,Start_Datetime,End_Datetime,Datetime_Match,Title,Merge_Candidate,Area,Lon,Lat,EventVenueAddress,EventVenueFacilityName,EventVenueCity,EventVenueState,EventVenueZip,EventWebsite
Introductory-A,Full Moon Farms H.T.(Nov 2020),Christine  Hryzak,FMF SOL,34.3,4-T,4,0,38.3,7,0,4:56,0,38.3,2,11/08/2020-11/08/2020,11/8/20,11/8/20,11/8/20,11/8/20,True,Full Moon Farms  ,Full Moon Farms H.T.(Nov 2020),2,-76.91386,39.4572,4326 Louisville Rd,Full Moon Farm,Finksburg,MD,21048.0,http://fullmoonfarm.com/
Training-A,Apple Knoll Farm H.T.(Sep 2019),Amanda Gardiner,Finn McCool,33.4,4,0,0,33.4,2,0,4:58,0,33.4,1,09/21/2019-09/21/2019,9/21/19,9/21/19,9/21/19,9/21/19,True,Apple Knoll Farm,Apple Knoll Farm H.T.(Sep 2019),1,-70.57221,41.86124,1067 Old Sandwich Rd,Valinor Farm,Plymouth,MA,2360.0,http://www.appleknoll.com/
Open Preliminary,Horse Trials at Majestic Oaks (Nov 2020),Shelby  Brost,RHF Peterzano,27.2,4,0,0,27.2,3,0,5:24,0,27.2,2,11/07/2020-11/08/2020,11/7/20,11/8/20,11/7/20,11/8/20,False,at Majestic Oaks ,Horse Trials at Majestic Oaks (Nov 2020),3,-82.21323000000001,29.40346,17500 N US Hwy 441,Exmoor Farm,Reddick,FL,32686.0,http://majesticoaksocala.com
Training-A,Apple Knoll Farm H.T.(Sep 2020),Lanie Mourgenos,Fit & Frisky,24.6,1,0,0,24.6,1,0,4:46,0,24.6,1,09/19/2020-09/19/2020,9/19/20,9/19/20,9/19/20,9/19/20,True,Apple Knoll Farm,Apple Knoll Farm H.T.(Sep 2020),1,-70.57221,41.86124,1067 Old Sandwich Rd,Valinor Farm,Plymouth,MA,2360.0,http://www.appleknoll.com/
Advanced / Intermediate,Texas Rose Horse Park Fall HT,Sydney Elliott,Commando D' Osthuy,38.2,3,12,4,54.2,3,0,0:00,W,W,W,11/09/2019-11/10/2019,11/9/19,11/10/19,11/9/19,11/10/19,False,Fresno County Horse Park  ,Texas Rose Horse Park Fall HT,6,-119.92303000000001,36.843309999999995,7430 N. Weber Ave,Fresno County Horsepark,Fresno,CA,93722.0,http://www.FresnoCountyHorsePark.com
Dressage Test of Choice - Email Secreta,Barnstaple South Jackpot and 3-Phase (Sept. 24),Sarah Jaycocks,Huck Finn, , , ,0:00, , , , , , , ,09/24/2020-09/24/2020,9/24/20,9/24/20,9/24/20,9/24/20,True,Barnstaple South H.T,Barnstaple South Jackpot and 3-Phase (Sept. 24),3,-82.21323000000001,29.40346,17500 N US Hwy 441,Exmoor Farm,Reddick,FL,32686.0,http://barnstaplesouth.com
Training,Bath Pony Club Mini Trial,Emily Garside,Heathen's Gold n Blue,36.43,2,0,0,36.43,1,0,4:46,0,36.43,1,10/04/2020-10/04/2020,10/4/20,10/4/20,10/4/20,10/4/20,True,Midsouth Pony Club  ,Bath Pony Club Mini Trial,8,-84.5168,38.15169,4089 Iron Works Pkwy,Kentucky Horse Park,Lexington,KY,40511.0,https://midsouth.ponyclub.org/
Training,Bath Pony Club Mini Trial,Emily Garside,Heathen's Gold n Blue,36.43,2,0,0,36.43,1,0,4:46,0,36.43,1,08/16/2020-08/16/2020,8/16/20,8/16/20,8/16/20,8/16/20,True,Midsouth Pony Club  ,Bath Pony Club Mini Trial,8,-84.5168,38.15169,4089 Iron Works Pkwy,Kentucky Horse Park,Lexington,KY,40511.0,https://midsouth.ponyclub.org/
Advanced Test A,Blue Ridge Mountain Horse Trials at TIEC(Sep 2019),Doug Payne,Quantum Leap,28.6,3,0,0,28.6,2,0,7:12,12,40.6,1,09/14/2019-09/15/2019,9/14/19,9/15/19,9/14/19,9/15/19,False,Blue Ridge Mountain at TIEC,Blue Ridge Mountain Horse Trials at TIEC(Sep 2019),2,-82.0669,35.28265,4066 Pea Ridge Rd,Tryon International Equestrian Center,Mill Spring,NC,28756.0,http://www.tryon.com
Novice,November 5th: Barnstaple Jackpot + 3-Phase,Sarah Jaycocks,Huck Finn,29.1,1,0,0,29.1,1,0,4:04,0,29.1,1,11/05/2020-11/05/2020,11/5/20,11/5/20,11/5/20,11/5/20,True,Barnstaple South H.T ,November 5th: Barnstaple Jackpot + 3-Phase,3,-82.21323000000001,29.40346,17500 N US Hwy 441,Exmoor Farm,Reddick,FL,32686.0,http://
CCI Two Star Long,Galway Downs International Event & H.T.(Oct 2020),Helen Bouscaren,Irish Pop,30.5,4,0,6:51,0,30.5,3,0,0,30.5,2,10/28/2020-11/01/2020,10/28/20,11/1/20,10/28/20,11/1/20,False,Galway Downs International  ,Galway Downs International Event & H.T.(Oct 2020),6,-117.03396000000001,33.48728,38801 Los Corralitos Rd,Galway Downs,Temecula,CA,92592.0,http://www.galwaydowns.net
Open Starter,Catalpa Corner Charity Horse Trial,Stephanie Caston,Notorious B.I.G.,30.3,3,0,4:33,0,30.3,1,0,0,30.3,1,08/03/2019-08/04/2019,8/3/19,8/4/19,8/3/19,8/4/19,False,Catalpa Corner Charity  ,Catalpa Corner Charity Horse Trial,4,-91.41017,41.714729999999996,5365 Elmira Rd.,Catalpa Corner,Iowa City,IA,52240.0,http://www.catalpacorner.org
Advanced,Chattahoochee Hills H.T.(Oct 2020),Boyd Martin,Tsetserleg,24.3,2,0,0,24.3,2, ,0:00, , , ,10/24/2020-10/25/2020,10/24/20,10/25/20,10/24/20,10/25/20,False,Chattahoochee Hills  ,Chattahoochee Hills H.T.(Oct 2020),3,-84.71646,33.63024,10045 Cedar Grove Road,Chattahoochee Hills,Fairburn,GA,30213.0,http://www.chatthillseventing.com/
Advanced CT,Grand Oaks Horse Trials,Clayton Fredericks,FE Stormtrooper,28.9,1,0,0,28.9,1, ,0:00, , , ,11/23/2019-11/24/2019,11/23/19,11/24/19,11/23/19,11/24/19,False,Grand Oaks  ,Grand Oaks Horse Trials,3,-82.21323000000001,29.40346,17500 N US Hwy 441,Exmoor Farm,Reddick,FL,32686.0,http://www.thegrandoaks.com/
Advanced CT,Grand Oaks Horse Trials,Clayton Fredericks,FE Stormtrooper,28.9,1,0,0,28.9,1, ,0:00, , , ,01/18/2019-01/20/2019,1/18/19,1/20/19,1/18/19,1/20/19,False,Grand Oaks  ,Grand Oaks Horse Trials,3,-82.21323000000001,29.40346,17500 N US Hwy 441,Exmoor Farm,Reddick,FL,32686.0,http://www.thegrandoaks.com/
Modified,Waredaca Classic Horse Trials (Oct 2020),Tracey Bienemann,Eleganze,30.7,4,0,0,30.7,3,0,5:48,2.8,33.5,1,10/22/2020-10/25/2020,10/22/20,10/25/20,10/22/20,10/25/20,False,Waredaca   ,Waredaca Classic Horse Trials (Oct 2020),2,-77.08061,39.23332,4015 Damascus Rd,Waredaca Equestrian Facility,Laytonsville,MD,20882.0,http://www.waredaca.com
CCI Two Star Short,Chattahoochee Hills H.T. (April 2019),Clara Cargile,BT Jump the Gun ,30.9,1-T,0,0,30.9,1,0,5:25,0,30.9,1,04/05/2019-04/07/2019,4/5/19,4/7/19,4/5/19,4/7/19,False,Chattahoochee Hills  ,Chattahoochee Hills H.T. (April 2019),3,-84.70005,33.63993,9445 Browns Lake Road,The Bouckaert Farm,Fairburn,GA,30213.0,http://www.chatthillseventing.com/
CCI Two Star Short,Chattahoochee Hills H.T. (Aug 2019),Kimberly Steinbuch,PDQ Leigh,28.4,1,0,5:45,4,32.4,1,0,0,32.4,1,08/30/2019-09/01/2019,8/30/19,9/1/19,8/30/19,9/1/19,False,Chattahoochee Hills  ,Chattahoochee Hills H.T. (Aug 2019),3,-84.70005,33.63993,9445 Browns Lake Road,The Bouckaert Farm,Fairburn,GA,30213.0,http://www.chatthillseventing.com/
Beginner Novice Combined Test,Stable View Eventing Academy Schooling H.T.,Jeanne Hulse,Excel Star Tristan,36.3,1,0,1.2,37.5,1, ,0:00, , , ,08/09/2020-08/09/2020,8/9/20,8/9/20,8/9/20,8/9/20,True,Stable View Oktoberfest  2/3/4* and  ,Stable View Eventing Academy Schooling H.T.,3,-81.79998,33.648590000000006,117 Stable Dr,Stable View Farm,Aiken,SC,29801.0,http://www.StableViewFarm.com
Beginner Novice Combined Test,Stable View Eventing Academy Schooling H.T.,Jeanne Hulse,Excel Star Tristan,36.3,1,0,1.2,37.5,1, ,0:00, , , ,02/17/2020-02/17/2020,2/17/20,2/17/20,2/17/20,2/17/20,True,Stable View Oktoberfest  2/3/4* and  ,Stable View Eventing Academy Schooling H.T.,3,-81.79998,33.648590000000006,117 Stable Dr,Stable View Farm,Aiken,SC,29801.0,http://www.StableViewFarm.com
Beginner Novice Combined Test,Stable View Eventing Academy Schooling H.T.,Jeanne Hulse,Excel Star Tristan,36.3,1,0,1.2,37.5,1, ,0:00, , , ,10/20/2019-10/20/2019,10/20/19,10/20/19,10/20/19,10/20/19,True,Stable View Oktoberfest  2/3/4* and  ,Stable View Eventing Academy Schooling H.T.,3,-81.79998,33.648590000000006,117 Stable Dr,Stable View Farm,Aiken,SC,29801.0,http://www.StableViewFarm.com
Beginner Novice Combined Test,Stable View Eventing Academy Schooling H.T.,Jeanne Hulse,Excel Star Tristan,36.3,1,0,1.2,37.5,1, ,0:00, , , ,07/21/2019-07/21/2019,7/21/19,7/21/19,7/21/19,7/21/19,True,Stable View Oktoberfest  2/3/4* and  ,Stable View Eventing Academy Schooling H.T.,3,-81.79998,33.648590000000006,117 Stable Dr,Stable View Farm,Aiken,SC,29801.0,http://www.StableViewFarm.com
Beginner Novice Combined Test,Stable View Eventing Academy Schooling H.T.,Jeanne Hulse,Excel Star Tristan,36.3,1,0,1.2,37.5,1, ,0:00, , , ,05/12/2019-05/12/2019,5/12/19,5/12/19,5/12/19,5/12/19,True,Stable View Oktoberfest  2/3/4* and  ,Stable View Eventing Academy Schooling H.T.,3,-81.79998,33.648590000000006,117 Stable Dr,Stable View Farm,Aiken,SC,29801.0,http://www.StableViewFarm.com
Beginner Novice Combined Test,Stable View Eventing Academy Schooling H.T.,Jeanne Hulse,Excel Star Tristan,36.3,1,0,1.2,37.5,1, ,0:00, , , ,02/24/2019-02/24/2019,2/24/19,2/24/19,2/24/19,2/24/19,True,Stable View Oktoberfest  2/3/4* and  ,Stable View Eventing Academy Schooling H.T.,3,-81.79998,33.648590000000006,117 Stable Dr,Stable View Farm,Aiken,SC,29801.0,http://www.StableViewFarm.com
Beginner Novice Show Jump Round,Stable View Eventing Academy Schooling H.T.,Laura Vanderwolk,First Class, , , ,0:00, , , , , , , ,12/13/2020-12/13/2020,12/13/20,12/13/20,12/13/20,12/13/20,True,Stable View Oktoberfest  2/3/4* and  ,Stable View Eventing Academy Schooling H.T.,3,-81.79998,33.648590000000006,117 Stable Dr,Stable View Farm,Aiken,SC,29801.0,http://www.StableViewFarm.com
CCI 1 Star,Chattahoochee Hills H.T. (Aug 2020),Joanie Morris,Betterthanexpected,31.6,1,0,0.8,32.4,1,0,5:06,0,32.4,1,08/29/2020-08/30/2020,8/29/20,8/30/20,8/29/20,8/30/20,False,Chattahoochee Hills  ,Chattahoochee Hills H.T. (Aug 2020),3,-84.70005,33.63993,9445 Browns Lake Road,The Bouckaert Farm,Fairburn,GA,30213.0,http://www.chatthillseventing.com/
Open Intermediate,Chattahoochee Hills H.T.(Feb 2020),Kim Severson,Cooley Cross Border,23.8,1,0,5:29,3.6,27.4,1,0,0,27.4,1,02/29/2020-03/01/2020,2/29/20,3/1/20,2/29/20,3/1/20,False,Chattahoochee Hills  ,Chattahoochee Hills H.T.(Feb 2020),3,-84.71646,33.63024,10045 Cedar Grove Road,Chattahoochee Hills,Fairburn,GA,30213.0,http://ChattHillsEventing.com
Advanced,Chattahoochee Hills H.T.(Oct 2019),Hallie Coon,Celien,27.9,1,0,6:55,6,33.9,1,4,0,37.9,1,10/26/2019-10/27/2019,10/26/19,10/27/19,10/26/19,10/27/19,False,Chattahoochee Hills  ,Chattahoochee Hills H.T.(Oct 2019),3,-84.70005,33.63993,9445 Browns Lake Road,The Bouckaert Farm,Fairburn,GA,30213.0,http://www.chatthillseventing.com/
Open Training-A,Fair Hill Starter Horse Trials ,Courtney Cooper,Excel Star Darcy,29.8,2,4,0,33.8,2,0,5:00,0,33.8,1,09/05/2020-09/05/2020,9/5/20,9/5/20,9/5/20,9/5/20,True,Fair Hill International April   and CCI-S,Fair Hill Starter Horse Trials ,2,-75.86013,39.70171,4600 Telegraph Rd,Fair Hill - Telegraph,Elkton,MD,21921.0,http://www.fairhillinternational.org
Open Intermediate,Chattahoochee Hills HT Summer 1,Devon Brown,Hickstead,23.3,2,0,6:14,5.6,28.9,1,4,0,32.9,1,06/27/2020-06/28/2020,6/27/20,6/28/20,6/27/20,6/28/20,False,Chattahoochee Hills  ,Chattahoochee Hills HT Summer 1,3,-84.70005,33.63993,9445 Browns Lake Road,The Bouckaert Farm,Fairburn,GA,30213.0,http://www.chatthillseventing.com/
Advanced,Chattahoochee Hills May H.T.,Karl Slezak,Fernhill Wishes,31.4,3-T,0,6:23,3.2,34.6,2,0,0.4,35,1,05/18/2019-05/19/2019,5/18/19,5/19/19,5/18/19,5/19/19,False,Chattahoochee Hills  ,Chattahoochee Hills May H.T.,3,-84.70005,33.63993,9445 Browns Lake Road,The Bouckaert Farm,Fairburn,GA,30213.0,http://www.chatthillseventing.com/
Dressage Test of Choice,War Horse Event Series October H.T.(Oct 2020),Sara Baucom,Gettin' Jiggy Wit It, , , ,0:00, , , , , , , ,10/11/2020-10/11/2020,10/11/20,10/11/20,10/11/20,10/11/20,True,War Horse Event Series October  ,War Horse Event Series October H.T.(Oct 2020),2,-79.36633,35.01506,2814 Montrose Rd,Carolina Horse Park,Raeford,NC,28376.0,http://www.carolinahorsepark.com/
Open Pre-Training,Glenarden Farms Horse Trials,Holly Jacks Smither,Josephine,29.5,2,0,0,29.5,2,0,4:56,0,29.5,1,07/25/2020-07/26/2020,7/25/20,7/26/20,7/25/20,7/26/20,False,Cobblestone Farms  ,Glenarden Farms Horse Trials,8,-83.84456999999999,42.365829999999995,5601 Zeeb Road,Cobblestone Farm,Dexter,MI,48130.0,http://www.cobblestonefarmsllc.com
Open Pre-Training,Glenarden Farms Horse Trials,Holly Jacks Smither,Josephine,29.5,2,0,0,29.5,2,0,4:56,0,29.5,1,10/12/2019-10/12/2019,10/12/19,10/12/19,10/12/19,10/12/19,True,Cobblestone Farms  ,Glenarden Farms Horse Trials,8,-83.84456999999999,42.365829999999995,5601 Zeeb Road,Cobblestone Farm,Dexter,MI,48130.0,http://www.cobblestonefarmsllc.com
Open Pre-Training,Glenarden Farms Horse Trials,Holly Jacks Smither,Josephine,29.5,2,0,0,29.5,2,0,4:56,0,29.5,1,07/27/2019-07/27/2019,7/27/19,7/27/19,7/27/19,7/27/19,True,Cobblestone Farms  ,Glenarden Farms Horse Trials,8,-83.84456999999999,42.365829999999995,5601 Zeeb Road,Cobblestone Farm,Dexter,MI,48130.0,http://www.cobblestonefarmsllc.com
Open Pre-Training,Glenarden Farms Horse Trials,Bob Holman,RREF FerroStyle,27.3,1,0,0,27.3,1,0,5:21,5.6,32.9,2,10/10/2020-10/10/2020,10/10/20,10/10/20,10/10/20,10/10/20,True,Cobblestone Farms  ,Glenarden Farms Horse Trials,8,-83.84456999999999,42.365829999999995,5601 Zeeb Road,Cobblestone Farm,Dexter,MI,48130.0,http://www.cobblestonefarmsllc.com
Preliminary,Course Brook Farm Fall Horse Trials,Betsy E. Bodner,Regal Cadence,35,2,0,0.8,35.8,2,0,6:16,12.4,48.2,1,09/07/2019-09/07/2019,9/7/19,9/7/19,9/7/19,9/7/19,True,Course Brook  ,Course Brook Farm Fall Horse Trials,1,-71.39974000000001,42.25229,39 Brush Hill Rd,Course Brook Farm,Sherborn,MA,1770.0,https://coursebrookfarm.com/
CCI Two Star Short,Woodside International H.T.(Oct 2020),Lauren Billys,Can Be Sweet,27.4,5,0,0,27.4,1,0,5:39,0.4,27.8,2,10/08/2020-10/11/2020,10/8/20,10/11/20,10/8/20,10/11/20,False,Woodside International  ,Woodside International H.T.(Oct 2020),6,-122.24548,37.40747,3674 Sand Hill Rd.,Woodside Horse Park,Woodside,CA,94062.0,http://www.woodsideeventing.com
Open Preliminary-A,ESDCTA New Jersey H.T. at the Horsepark,Alyssa Phillips,Cornelius Bo,28,2-T,0,0,28,2-T,0,6:11,9.6,37.6,1,09/27/2020-09/27/2020,9/27/20,9/27/20,9/27/20,9/27/20,True,ESDCTA New Jersey   ,ESDCTA New Jersey H.T. at the Horsepark,2,-74.49821,40.19321,626 Rte 524,The Horsepark of New Jersey,Allentown,NJ,8501.0,https://www.esdcta.org
Open Preliminary-A,ESDCTA New Jersey H.T. at the Horsepark,Alyssa Phillips,Cornelius Bo,28,2-T,0,0,28,2-T,0,6:11,9.6,37.6,1,09/29/2019-09/29/2019,9/29/19,9/29/19,9/29/19,9/29/19,True,ESDCTA New Jersey   ,ESDCTA New Jersey H.T. at the Horsepark,2,-74.49821,40.19321,626 Rte 524,The Horsepark of New Jersey,Allentown,NJ,8501.0,https://www.esdcta.org
Advanced,Essex Horse Trials,William Coleman,Obos O'Reilly,31.7,9,4,0,35.7,1,0,5:07,6.4,42.1,1,06/21/2019-06/23/2019,6/21/19,6/23/19,6/21/19,6/23/19,False,Essex  ,Essex Horse Trials,2,-74.63613000000001,40.68475,50 US Highway 202,Moorland Farm,Far Hills,NJ,7931.0,http://www.essexhorsetrials.org
Advanced-A,Morven Park Fall International H.T. & CCIS,William Coleman,Tight Lines,28.4,1,0,0,28.4,1,0,7:22,8.8,37.2,2,10/02/2020-10/04/2020,10/2/20,10/4/20,10/2/20,10/4/20,False,Morven Park Fall International ,Morven Park Fall International H.T. & CCIS,2,-77.55527,39.14542,41793 Tutt Lane,Morven Park Equestrian Center,Leesburg,VA,20176.0,http://www.morvenpark.org
CCI2-S Two Star,Fair Hill International April Horse Trials,Colleen Loach,Vermont,28.3,2,0,0,28.3,2,0,5:25,0,28.3,1,04/19/2019-04/21/2019,4/19/19,4/21/19,4/19/19,4/21/19,False,Fair Hill International  ,Fair Hill International April Horse Trials,2,-75.86013,39.70171,4600 Telegraph Rd,Fair Hill - Telegraph,Elkton,MD,21921.0,http://www.fairhillinternational.org
CCI Three Star (short),Fair Hill International August Horse Trials,Phillip Dutton,Fernhill Singapore,22.5,2,0,6:10,2,24.5,1,0,0,24.5,1,08/08/2020-08/09/2020,8/8/20,8/9/20,8/8/20,8/9/20,False,Fair Hill International  ,Fair Hill International August Horse Trials,2,-75.86013,39.70171,4600 Telegraph Rd,Fair Hill - Telegraph,Elkton,MD,21921.0,http://fairhillinternational.org/
CCI Three Star (short),Fair Hill International August Horse Trials,Phillip Dutton,Fernhill Singapore,22.5,2,0,6:10,2,24.5,1,0,0,24.5,1,08/10/2019-08/11/2019,8/10/19,8/11/19,8/10/19,8/11/19,False,Fair Hill International  ,Fair Hill International August Horse Trials,2,-75.86013,39.70171,4600 Telegraph Rd,Fair Hill - Telegraph,Elkton,MD,21921.0,http://fairhillinternational.org/
CCI Three Star,Fair Hill International CCI****/***,Woods Baughman,C'est La Vie 135,27.6,2,0,8:30,0,27.6,1,0,0,27.6,1,10/16/2019-10/20/2019,10/16/19,10/20/19,10/16/19,10/20/19,False,Carolina International CCI and  ,Fair Hill International CCI****/***,2,-79.36633,35.01506,2814 Montrose Rd,Carolina Horse Park,Raeford,NC,28376.0,http://www.carolinainternationalcic.com/
Novice Horse-A,Fair Hill International June Starter HT,Elissa Ogburn,Land Run,26.7,2,0,0,26.7,1,0,5:00,0,26.7,1,06/29/2019-06/29/2019,6/29/19,6/29/19,6/29/19,6/29/19,True,Fair Hill International April   and CCI-S,Fair Hill International June Starter HT,2,-75.86013,39.70171,4600 Telegraph Rd,Fair Hill - Telegraph,Elkton,MD,21921.0,http://www.fairhillinternational.org
Introductory-A,Larkin Hill HT,Caroline Reardon,Marco,33.6,4,0,0,33.6,3,0,3:10,0,33.6,2,09/26/2020-09/27/2020,9/26/20,9/27/20,9/26/20,9/27/20,False,Larkin Hill,Larkin Hill HT,1,-73.64431,42.47909,114 Woodward Rd,Larkin Hill Farm,Nassau,NY,12123.0,http://www.larkinhill.com
Novice Horse,Fair Hill International May Starter HT,Elizabeth Bierman,EB Winston,29.1,1,0,0,29.1,1,0,5:00,0,29.1,1,05/04/2019-05/04/2019,5/4/19,5/4/19,5/4/19,5/4/19,True,Fair Hill International April   and CCI-S,Fair Hill International May Starter HT,2,-75.86013,39.70171,4600 Telegraph Rd,Fair Hill - Telegraph,Elkton,MD,21921.0,http://www.fairhillinternational.org
CCI Two Star - S,Stable View Oktoberfest 1/ 2/3/4* and H.T.,Elisabeth Halliday-Sharp,Maryville Sir Henry,27.4,1,0,0,27.4,1,0,5:46,0,27.4,1,09/27/2019-09/29/2019,9/27/19,9/29/19,9/27/19,9/29/19,False,Stable View Spring 1/2/3/4*,Stable View Oktoberfest 1/ 2/3/4* and H.T.,3,-81.79998,33.648590000000006,117 Stable Dr,Stable View Farm,Aiken,SC,29801.0,http://StableViewFarm.com
XC Schooling,Full Gallop Farm Sept. Schooling HT,Heidi Gyselinck,Jovian Giant, , , ,0:00, , , , , , , ,09/08/2019-09/08/2019,9/8/19,9/8/19,9/8/19,9/8/19,True,Full Gallop Farm November   ,Full Gallop Farm Sept. Schooling HT,3,-81.58405,33.57045,3828 Wagener Rd.,Full Gallop Farm,Aiken,SC,29805.0,http://www.fullgallopfarm.com
XC Schooling,Full Gallop Farm Sept. Schooling HT,Kate Boggan,Dashing Vixen,W,W,0,0:00,W,W,W,0,W,W,W,09/20/2020-09/20/2020,9/20/20,9/20/20,9/20/20,9/20/20,True,Full Gallop Farm November   ,Full Gallop Farm Sept. Schooling HT,3,-81.58405,33.57045,3828 Wagener Rd.,Full Gallop Farm,Aiken,SC,29805.0,http://www.fullgallopfarm.com
Open Preliminary,Feather Creek Farm H.T.(Aug 2019),Emelie Lesher,Hotshot,30.2,1,4,0,34.2,2,0,5:16,10.4,44.6,1,06/07/2019-06/09/2019,6/7/19,6/9/19,6/7/19,6/9/19,False,Feather Creek Farm  ,Feather Creek Farm H.T.(Aug 2019),5,-97.331,35.23746,1501 72nd Ave,Feather Creek Farm,Norman,OK,73026.0,https://www.facebook.com/Feather-Creek-Farm-116967058316156/
Open Preliminary,Feather Creek Farm H.T.(June 2020),Samantha Tinney,Glenbrook Cooley,26.5,2,0,0,26.5,1,0,5:21,12.4,38.9,1,06/06/2020-06/07/2020,6/6/20,6/7/20,6/6/20,6/7/20,False,Feather Creek Farm  ,Feather Creek Farm H.T.(June 2020),5,-97.331,35.23746,1501 72nd Ave,Feather Creek Farm,Norman,OK,73026.0,https://www.facebook.com/Feather-Creek-Farm-116967058316156/
Introductory,Feather Creek Farm H.T.(Sept 2019),Mary Kay  Trotter,Kid Sidney, , , , , , , ,0:00, , , ,09/20/2019-09/22/2019,9/20/19,9/22/19,9/20/19,9/22/19,False,Feather Creek Farm  ,Feather Creek Farm H.T.(Sept 2019),5,-97.331,35.23746,1501 72nd Ave,Feather Creek Farm,Norman,OK,73026.0,https://www.facebook.com/Feather-Creek-Farm-116967058316156/
