Division,Event,Rider,Horse,Dress Score,Dress Place,Stad Jump,Stad Time,To Date Score,To Date Place,XC Jump,XC Elapsed,XC Time,Final Score,Final Place,dates,Start_Date,End_Date,Start_Datetime,End_Datetime,Datetime_Match,Title,Merge_Candidate,Area,Lon,Lat,EventVenueAddress,EventVenueFacilityName,EventVenueCity,EventVenueState,EventVenueZip,EventWebsite
Open Intermediate-A,Pine Top Spring Horse Trials,Boyd Martin,On Cue,29,4,0,0,29,3,0,6:16,6.4,35.4,1,03/15/2019-03/17/2019,3/15/19,3/17/19,3/15/19,3/17/19,False,Pine Hill Spring  ,Pine Top Spring Horse Trials,5,-96.23961,29.95875,1720 Hwy 159 East Bellville,Pine Hill,Bellville,TX,77418.0,http://www.pinehilltexas.com/
CCI Two Star,Horse Park of New Jersey H.T. II(July 2019),Lauren Chumley,Atlanta B,32.5,2,0,0,32.5,1,0,5:42,0,32.5,1,07/26/2019-07/28/2019,7/26/19,7/28/19,7/26/19,7/28/19,False,Horse Park of New Jersey   I,Horse Park of New Jersey H.T. II(July 2019),2,-74.49821,40.19321,626 Rte 524,The Horsepark of New Jersey,Allentown,NJ,8501.0,http://www.horseparkofnewjersey.com
Advanced Combined Test,Ocala Winter II H.T.(Mar 2020),Sara Kozumplik Murphy,Enough Already,29.8,3,0,0,29.8,2, ,0:00, , , ,03/12/2020-03/15/2020,3/12/20,3/15/20,3/12/20,3/15/20,False,Ocala Winter I  ,Ocala Winter II H.T.(Mar 2020),3,-82.13986,29.05603,11008 S Hwy 475,Florida Horse Park,Ocala ,FL,34480.0,http://www.flhorsepark.com
Open Preliminary,Horse Trials at Majestic Oaks (Jan 2020),Caroline Martin,Cheranimo,29,4,0,0,29,3,0,5:08,0,29,1,01/11/2020-01/12/2020,1/11/20,1/12/20,1/11/20,1/12/20,False,at Majestic Oaks ,Horse Trials at Majestic Oaks (Jan 2020),3,-82.21323000000001,29.40346,17500 N US Hwy 441,Exmoor Farm,Reddick,FL,32686.0,http://majesticoaksocala.com
CCI Two Star Short,Red Hills International Horse Trial ,Alexander O'Neal,Pauldary's Arctic Tiger,31.3,8,0,5:39,0,31.3,4,0,0,31.3,2,03/06/2020-03/08/2020,3/6/20,3/8/20,3/6/20,3/8/20,False,Red Hills International  ,Red Hills International Horse Trial ,3,-84.30026,30.538529999999998,"Gate B, 1775 Miller Landing Road",Elinor Klapp Phipps Park,Tallahassee,FL,32312.0,http://www.RHHT.org
Preliminary/Training,Hunt Club Farms-Eventing For The Cure!,Karen Conk,Flux Capacitor ,35,1,4,0,39,1,60,5:00,R,R,R,08/31/2019-08/31/2019,8/31/19,8/31/19,8/31/19,8/31/19,True,Hunt Club Farms   ,Hunt Club Farms-Eventing For The Cure!,2,-78.03623,39.19103,294 Longmarsh Rd,Hunt Club Farms,Berryville,VA,22611.0,http://www.huntclubfarms.net
CCI Three Star Long,Jersey Fresh International Three-day Event,Doug Payne,Starr Witness,30.1,3,0,8:12,0,30.1,2,0,0,30.1,1,05/08/2019-05/12/2019,5/8/19,5/12/19,5/8/19,5/12/19,False,Jersey Fresh International ,Jersey Fresh International Three-day Event,2,-74.49821,40.19321,626 Rte 524,The Horsepark of New Jersey,Allentown,NJ,8501.0,http://www.jfi3d.com
Introductory,Kent School Fall H.T.(Oct 2019),Margaret O'Brien,Diamond Alexis,34.4,2,0,0,34.4,1,0,4:09,0,34.4,1,10/06/2019-10/06/2019,10/6/19,10/6/19,10/6/19,10/6/19,True,Kent School Fall  ,Kent School Fall H.T.(Oct 2019),1,-72.7383,41.5735,30 Westwoods Rd.,Kent School,Kent,CT,6359.0,http://www.area1usea.org/Resources/Links/Kent/Kentpage.htm
Intermediate / Preliminary,Three Lakes Winter II HT ,Lauren Kieffer,Get Gaudi,24.8,1,0,0,24.8,1,0,4:53,1.6,26.4,1,02/23/2019-02/24/2019,2/23/19,2/24/19,2/23/19,2/24/19,False,Three Lakes Winter I   at Caudle Ranch,Three Lakes Winter II HT ,3,-81.83154,28.61913,18543 Highway 19,Caudle Ranch,Groveland,FL,34736.0,http://www.threelakesht.com
Intermediate / Preliminary,Three Lakes Winter II HT ,Sinead Maynard,Stakkato Bronx,34.1,2-T,0,0.4,34.5,2,0,5:04,6,40.5,2,02/22/2020-02/23/2020,2/22/20,2/23/20,2/22/20,2/23/20,False,Three Lakes Winter I   at Caudle Ranch,Three Lakes Winter II HT ,3,-81.83154,28.61913,18543 Highway 19,Caudle Ranch,Groveland,FL,34736.0,http://www.threelakesht.com
Advanced Test A-A,Pine Top Advanced Horse Trials,Doug Payne,Starr Witness,23.8,1,0,0,23.8,1,0,6:20,2,25.8,1,02/22/2019-02/24/2019,2/22/19,2/24/19,2/22/19,2/24/19,False,Pine Top Advanced  ,Pine Top Advanced Horse Trials,3,-82.46623000000001,33.45322,1432 Augusta Hwy,Pine Top Farm,Thomson,GA,30824.0,http://www.pinetopfarm.com
Advanced Test A-A,Pine Top Advanced Horse Trials,Tim Bourke,Quality Time,32.5,6,0,0,32.5,4,0,6:30,6,38.5,2,02/21/2020-02/23/2020,2/21/20,2/23/20,2/21/20,2/23/20,False,Pine Top Advanced  ,Pine Top Advanced Horse Trials,3,-82.46623000000001,33.45322,1432 Augusta Hwy,Pine Top Farm,Thomson,GA,30824.0,http://www.pinetopfarm.com
Advanced Test A,Rocking Horse Winter 2 Horse Trials,Lisa Marie Fergusson,Honor Me,31.3,7,0,0,31.3,5,0,6:10,5.6,36.9,1,02/14/2019-02/17/2019,2/14/19,2/17/19,2/14/19,2/17/19,False,Rocking Horse Spring  ,Rocking Horse Winter 2 Horse Trials,3,-81.64143,28.99305,44200 S.R. 19 N,Rocking Horse Farm,Altoona,FL,32702.0,http://www.rockinghorseeventing.com
Advanced Test A,Rocking Horse Winter 2 Horse Trials,Alexandra Knowles,Ms. Poppins,29.8,6,0,0,29.8,4,0,6:21,10,39.8,2,02/13/2020-02/16/2020,2/13/20,2/16/20,2/13/20,2/16/20,False,Rocking Horse Spring  ,Rocking Horse Winter 2 Horse Trials,3,-81.64143,28.99305,44200 S.R. 19 N,Rocking Horse Farm,Altoona,FL,32702.0,http://www.rockinghorseeventing.com
Advanced Combined Test,Long Leaf Pine Horse Trials - CHP,Ariel Grald,Leamore Master Plan,32.7,1, ,0:00, , , , , , , ,04/20/2019-04/21/2019,4/20/19,4/21/19,4/20/19,4/21/19,False,Longleaf Pine  ,Long Leaf Pine Horse Trials - CHP,2,-79.36633,35.01506,2814 Montrose Rd,Carolina Horse Park,Raeford,NC,28376.0,http://www.carolinahorsepark.com/
Open Intermediate,Loudoun Hunt Pony Club Spring Horse Trial (April 2,Cornelia Dorr,Sir Patico MH,29.8,2,0,0,29.8,2,0,5:32,0,29.8,1,04/27/2019-04/28/2019,4/27/19,4/28/19,4/27/19,4/28/19,False,Loudoun Hunt Pony Club Spring  ,Loudoun Hunt Pony Club Spring Horse Trial (April 2,2,-77.55527,39.14542,41793 Tutt Lane,Morven Park Equestrian Center,Leesburg,VA,20176.0,https://loudounhunt.ponyclub.org/pages/334.aspx
Advanced / Intermediate,Pine Top Intermediate Horse Trials,Colleen Loach,Qorry Blue D'Argouges,33.8,4,0,0,33.8,2,0,5:59,7.6,41.4,1,02/08/2019-02/10/2019,2/8/19,2/10/19,2/8/19,2/10/19,False,Pine Top Advanced  ,Pine Top Intermediate Horse Trials,3,-82.46623000000001,33.45322,1432 Augusta Hwy,Pine Top Farm,Thomson,GA,30824.0,http://www.pinetopfarm.com
Advanced / Intermediate,Pine Top Intermediate Horse Trials,Fylicia Barr,Galloway Sunrise,29.8,2,0,2.4,32.2,1,0,6:24,17.6,49.8,2,02/07/2020-02/09/2020,2/7/20,2/9/20,2/7/20,2/9/20,False,Pine Top Advanced  ,Pine Top Intermediate Horse Trials,3,-82.46623000000001,33.45322,1432 Augusta Hwy,Pine Top Farm,Thomson,GA,30824.0,http://www.pinetopfarm.com
Advanced CT,Ocala Winter I Horse Trials,Rebecca Brown,Dassett Choice,28.9,2,0,0,28.9,2, ,0:00, , , ,02/06/2020-02/09/2020,2/6/20,2/9/20,2/6/20,2/9/20,False,Ocala Winter I  ,Ocala Winter I Horse Trials,3,-82.13986,29.05603,11008 S Hwy 475,Florida Horse Park,Ocala ,FL,34480.0,http://www.flhorsepark.com
Intermediate / Preliminary,Three Lakes Winter 1,Maxine Preston,Shannondale Magnum,33.6,5,0,0,33.6,2,0,6:09,14.8,48.4,1,02/02/2019-02/03/2019,2/2/19,2/3/19,2/2/19,2/3/19,False,Three Lakes Winter I   at Caudle Ranch,Three Lakes Winter 1,3,-81.83154,28.61913,18543 Highway 19,Caudle Ranch,Groveland,FL,34736.0,http://www.threelakesht.com
Intermediate / Preliminary,Three Lakes Winter 1,Jennie Jarnstrom,Flower Girl,35.2,6,4,1.2,40.4,7,0,6:05,13.2,53.6,2,02/01/2020-02/02/2020,2/1/20,2/2/20,2/1/20,2/2/20,False,Three Lakes Winter I   at Caudle Ranch,Three Lakes Winter 1,3,-81.83154,28.61913,18543 Highway 19,Caudle Ranch,Groveland,FL,34736.0,http://www.threelakesht.com
Starter,Sporting Days Farm Feb. HT,Heather Sinclair,Force Ten,31.4,2,0,0,31.4,1,0,3:32,0,31.4,1,02/03/2019-02/03/2019,2/3/19,2/3/19,2/3/19,2/3/19,True,Hitching Post Farm  ,Sporting Days Farm Feb. HT,1,-72.56326,43.81005,2096 Back River Rd.,Hitching Post Farm,S. Royalton,VT,5068.0,http://www.hitchingpostfarm.com/
Intermediate Rider,Rocking Horse Winter I H.T.(Jan 2020),Jordan Riske,Redemption Song,37.9,3,4,0,41.9,3,0,5:50,0,41.9,2,01/24/2020-01/26/2020,1/24/20,1/26/20,1/24/20,1/26/20,False,Rocking Horse Winter I  ,Rocking Horse Winter I H.T.(Jan 2020),3,-81.64143,28.99305,44200 S.R. 19 N,Rocking Horse Farm,Altoona,FL,32702.0,http://www.rockinghorseeventing.com/
Modified,Stable View Aiken Opener H.T.,Lisa Borgia,Silmarillion,31.1,8,0,0,31.1,4,0,4:56,0,31.1,2,01/23/2021-01/24/2021,1/23/21,1/24/21,1/23/21,1/24/21,False,Stable View Aiken Opener  ,Stable View Aiken Opener H.T.,3,-81.79998,33.648590000000006,117 Stable Dr,Stable View Farm,Aiken,SC,29801.0,http://www.stableviewfarm.com
Combined Test - Fair Hill Prep 4*,MDHT at Loch Moy Farm Classic BN3 Day Event & H.T.,Marilyn Little,RF Scandalous,25.4,1, ,0:00, , , , , , , ,10/11/2019-10/13/2019,10/11/19,10/13/19,10/11/19,10/13/19,False,The Maryland   at Loch Moy Farm II,MDHT at Loch Moy Farm Classic BN3 Day Event & H.T.,2,-77.42949,39.27075,1235 Park Mills Road,Loch Moy Farm,Adamstown,MD,21710.0,http://www.themarylandhorsetrials.com/
Intermediate CT,Sporting Days Farm Horse Trials IV(Dec 2019),Claire Howard,Euro Star,36.9,2, ,0:00, , , , , , , ,12/07/2019-12/08/2019,12/7/19,12/8/19,12/7/19,12/8/19,False,Sporting Days Farm April   III ,Sporting Days Farm Horse Trials IV(Dec 2019),3,-81.59201,33.521390000000004,3549 Charleston Hwy,Sporting Days Farm,Aiken,SC,29801.0,http://www.sportingdaysfarm.com/
Open Intermediate,Pine Top Thanksgiving Horse Trials,Magdalena Valenti,Wish I Am,33.6,2,0,0,33.6,1,0,6:26,16.4,50,2,11/30/2019-12/01/2019,11/30/19,12/1/19,11/30/19,12/1/19,False,Pine Top Intermediate  ,Pine Top Thanksgiving Horse Trials,3,-82.46623000000001,33.45322,1432 Augusta Hwy,Pine Top Farm,Thomson,GA,30824.0,http://www.pinetopfarm.com/#home0
Beginner Novice - Horse Trial-A,Stable View Schooling Horse Trial(November),Tiffani Loudon Meetze ,Cooley,31.1,3,0,0,31.1,2,0,4:59,0,31.1,2,11/17/2019-11/17/2019,11/17/19,11/17/19,11/17/19,11/17/19,True,Stable View Summer   ,Stable View Schooling Horse Trial(November),3,-81.79998,33.648590000000006,117 Stable Dr,Stable View Farm,Aiken,SC,29801.0,http://stableviewfarm.com
CCI Four Star - Short,Ocala Jockey Club International 3-Day Event,Jessica Phoenix,Bogue Sound,39.9,13,0,0.8,40.7,7,0,7:14,2.4,43.1,2,11/14/2019-11/17/2019,11/14/19,11/17/19,11/14/19,11/17/19,False,Ocala International Festival of Eventing,Ocala Jockey Club International 3-Day Event,3,-82.13986,29.05603,11008 S Hwy 475,Florida Horse Park,Ocala ,FL,34480.0,http://www.flhorsepark.com
Advanced,Millbrook H.T.(Aug 2019),Will Faudree,PFun,29.1,6,0,6:12,0,29.1,1,0,0,29.1,1,08/01/2019-08/04/2019,8/1/19,8/4/19,8/1/19,8/4/19,False,Millbrook  ,Millbrook H.T.(Aug 2019),1,-73.61338,41.86105,1031 Bangall-Amenia Rd,Riga Meadow at Coole Park,Millbrook,NY,12545.0,http://www.millbrookhorsetrials.com/
Intermediate/Preliminary,Majestic Oaks Horse Trials,Shanon Baker,Carlingford Wells,32.1,1,0,TE,TE,TE,0,5:26,TE,TE,TE,01/12/2019-01/13/2019,1/12/19,1/13/19,1/12/19,1/13/19,False, Horse Trials at Majestic Oaks,Majestic Oaks Horse Trials,3,-82.21323000000001,29.40346,17500 N US Hwy 441,Exmoor Farm,Reddick,FL,32686.0,http://www.MajesticOaksOcala.com
CCI Two Star-A,Morven Park Fall International H.T. & CCIS-2/3/4*,Jackie LeMastus,Lup The Loop,28,1,0,0,28,1,0,5:15,0,28,1,10/04/2019-10/06/2019,10/4/19,10/6/19,10/4/19,10/6/19,False,Morven Park Fall International   & CCIS,Morven Park Fall International H.T. & CCIS-2/3/4*,2,-77.55527,39.14542,41793 Tutt Lane,Morven Park Equestrian Center,Leesburg,VA,20176.0,http://www.morvenpark.org
Open Intermediate,Morven Park Spring Horse Trials,Boyd Martin,Ray Price,30.2,1,0,0,30.2,1,0,5:47,0,30.2,1,11/14/2020-11/15/2020,11/14/20,11/15/20,11/14/20,11/15/20,False,Morven Park Spring  ,Morven Park Spring Horse Trials,2,-77.55527,39.14542,41793 Tutt Lane,Morven Park Equestrian Center,Leesburg,VA,20176.0,http://www.morvenpark.org
Open Intermediate,Morven Park Spring Horse Trials,Boyd Martin,Ray Price,30.2,1,0,0,30.2,1,0,5:47,0,30.2,1,03/30/2019-03/31/2019,3/30/19,3/31/19,3/30/19,3/31/19,False,Morven Park Spring  ,Morven Park Spring Horse Trials,2,-77.55527,39.14542,41793 Tutt Lane,Morven Park Equestrian Center,Leesburg,VA,20176.0,http://www.morvenpark.org
Combined Test,Waredaca Classic Horse Trials,Taylor Symon,Breaking Boundaries,44.1,1, ,0:00, , , , , , , ,10/24/2019-10/27/2019,10/24/19,10/27/19,10/24/19,10/27/19,False,Waredaca  ,Waredaca Classic Horse Trials,2,-77.08061,39.23332,4015 Damascus Rd,Waredaca Equestrian Facility,Laytonsville,MD,20882.0,http://www.waredaca.com
CCI Two Star,Ocala International 3-Day Festival of Eventing,Lauren Kieffer,Get Gaudi,27.7,2,0,7:06,0,27.7,2,0,0,27.7,1,04/10/2019-04/14/2019,4/10/19,4/14/19,4/10/19,4/14/19,False,Ocala International 3-Day Festival of Eventing,Ocala International 3-Day Festival of Eventing,3,-82.13986,29.05603,11008 S Hwy 475,Florida Horse Park,Ocala ,FL,34480.0,http://www.flhorsepark.com
Advanced Combined Test,War Horse Event Series (October 2019),Nobie Cannon,Bust A Groove,31.3,1,0,0,31.3,1, ,0:00, , , ,10/13/2019-10/13/2019,10/13/19,10/13/19,10/13/19,10/13/19,True,War Horse Event Series October  ,War Horse Event Series (October 2019),2,-79.36633,35.01506,2814 Montrose Rd,Carolina Horse Park,Raeford,NC,28376.0,http://www.carolinahorsepark.com/
Advanced Combined Test,Ocala Winter I H.T. ,Elisabeth Halliday-Sharp,Deniro Z,25.2,2-T,0,0,25.2,1, ,0:00, , , ,02/07/2019-02/10/2019,2/7/19,2/10/19,2/7/19,2/10/19,False,Ocala Summer II  ,Ocala Winter I H.T. ,3,-82.13986,29.05603,11008 S Hwy 475,Florida Horse Park,Ocala ,FL,34480.0,https://flhorsepark.com/ocala-eventing-series/
Preliminary-A,Windridge Farm Fall HT,Kimberly Steinbuch,PDQ Leigh,25,1,0,2,27,1,0,6:21,25.2,52.2,2,10/05/2019-10/06/2019,10/5/19,10/6/19,10/5/19,10/6/19,False,WindRidge Farm Fall   ,Windridge Farm Fall HT,2,-81.82851,35.227470000000004,882 Goodes Creek Church Rd,Windridge Farm,Mooresboro,NC,28114.0,http://www.WindridgeFarmsNC.com
Advanced Combined Test,Ocala Winter II Horse Trials,Alexa Lapp,Cambalda,31.9,1,4,0,35.9,1, ,0:00, , , ,03/14/2019-03/17/2019,3/14/19,3/17/19,3/14/19,3/17/19,False,Ocala Winter II  ,Ocala Winter II Horse Trials,3,-82.13986,29.05603,11008 S Hwy 475,Florida Horse Park,Ocala ,FL,34480.0,http://www.flhorsepark.com
CCI Two Star Short,Woodside International H.T.(Oct 2019),Meg Pellegrini,RF Eloquence,26.9,4,0,0,26.9,2,0,5:40,0,26.9,2,10/03/2019-10/06/2019,10/3/19,10/6/19,10/3/19,10/6/19,False,Woodside International ,Woodside International H.T.(Oct 2019),6,-122.24548,37.40747,3674 Sand Hill Rd.,Woodside Horse Park,Woodside,CA,94062.0,http://www.woodsideeventing.com
4 yr old Young Event Horse,Surefire Horse Trials,Kimmy Cecere,Landmark's Jungle Gold, , , ,0:00, , , , , , , ,09/28/2019-09/29/2019,9/28/19,9/29/19,9/28/19,9/29/19,False,Surefire Farm  ,Surefire Horse Trials,2,-77.76337,39.050340000000006,20490 St Louis Rd,Surefire Farm,Purcelville,VA,20132.0,http://www.surefireeventing.com/
Intermediate/Preliminary,Otter Creek Spring H.T.(May 2019),Greta Schwickert,FE Charles Owen,31.6,1,0,6:17,6.8,38.4,1,0,W,W,W,05/17/2019-05/19/2019,5/17/19,5/19/19,5/17/19,5/19/19,False,Otter Creek Spring  ,Otter Creek Spring H.T.(May 2019),4,-91.89656,45.10324,Otter Creek Farm 1170th Ave,Otter Creek Farm,Wheeler,WI,54772.0,http://www.ottercreekfarm.com/
Starter - Friday,Paradise Farm Horse Trials (February 2019),Aaron S Hill,Denali,34.7,1,0,0,34.7,1,0,1:00,0,34.7,1,02/15/2019-02/17/2019,2/15/19,2/17/19,2/15/19,2/17/19,False,Paradise Farm   ,Paradise Farm Horse Trials (February 2019),3,-81.55785,33.57801,4069 Wagener Rd.,Paradise Farm,Aiken,SC,29805.0,http://www.paradisefarmaiken.com
CCI Two Star Short-A,Plantation Field International,Lauren Kieffer,Get Gaudi,21.3,1,0,5:47,0,21.3,1,4,0,25.3,2,09/18/2019-09/22/2019,9/18/19,9/22/19,9/18/19,9/22/19,False,Plantation Field April  ,Plantation Field International,2,-75.78744,39.90874,450 Apple Grove Rd.,Plantation Field,Coatesville,PA,19320.0,http://www.plantationfield.com
Open Intermediate,Plantation Field H.T.(June 2019),Kristine Burgess,Twoggeron,34.7,2,4,1.2,39.9,3,0,5:49,1.2,41.1,1,06/08/2019-06/08/2019,6/8/19,6/8/19,6/8/19,6/8/19,True,Plantation Field  ,Plantation Field H.T.(June 2019),2,-75.78744,39.90874,450 Apple Grove Rd.,Plantation Field,Coatesville,PA,19320.0,http://www.Plantationfield.com
Training Horse,Plantation Field June Starter Horse Trials,Lillian Heard,Chilly,26.2,1,0,0,26.2,1,0,1:00,0,26.2,1,06/07/2020-06/07/2020,6/7/20,6/7/20,6/7/20,6/7/20,True,Plantation Field International CCI-S,Plantation Field June Starter Horse Trials,2,-75.78744,39.90874,450 Apple Grove Rd.,Plantation Field,Coatesville,PA,19320.0,http://plantationfield.com
Training Horse,Plantation Field June Starter Horse Trials,Lillian Heard,Chilly,26.2,1,0,0,26.2,1,0,1:00,0,26.2,1,06/09/2019-06/09/2019,6/9/19,6/9/19,6/9/19,6/9/19,True,Plantation Field International CCI-S,Plantation Field June Starter Horse Trials,2,-75.78744,39.90874,450 Apple Grove Rd.,Plantation Field,Coatesville,PA,19320.0,http://plantationfield.com
Open Preliminary,Town Hill Farm Horse Trials(Aug 2019),Booli Selmayr,Urania,29.6,2,0,0,29.6,1,0,5:58,5.6,35.2,2,08/23/2019-08/25/2019,8/23/19,8/25/19,8/23/19,8/25/19,False,Town Hill Farm  ,Town Hill Farm Horse Trials(Aug 2019),1,-73.43115999999999,41.936809999999994,55 Lime Rock Rd (Rt. 112),Town Hill Farm,Lakeville,CT,6039.0,http://www.townhillfarm.com
Intermediate Championships,Poplar Place Farm June HT & Area Championships,Kate Brown,Victor Z,30.5,2,0,6:29,5.6,36.1,1,0,0,36.1,1,05/31/2019-06/02/2019,5/31/19,6/2/19,5/31/19,6/2/19,False,Poplar Place Farm   ,Poplar Place Farm June HT & Area Championships,3,-84.86506999999999,32.7023,8191 US Highway 27 E,Poplar Place Farm,Hamilton,GA,31811.0,http://www.poplarplacefarm.com/
Intermediate / Preliminary,Poplar Place March Horse Trials (2019),Werner Geven,L'Avventura,31,2,0,5:30,0,31,1,4,0,35,1,3/23/19,3/23/19,,3/23/19,,False,Poplar Place Farm March  ,Poplar Place March Horse Trials (2019),3,-84.86506999999999,32.7023,8191 US Highway 27 E,Poplar Place Farm,Hamilton,GA,31811.0,http://www.poplarplacefarm.com/
CCI Two Star Short,Red Hills International Horse Trial (March 2019),Lynn Symansky,Global Cassero 3,25.2,1,0,5:52,0,25.2,1,0,0,25.2,1,03/06/2019-03/08/2019,3/6/19,3/8/19,3/6/19,3/8/19,False,Red Hills International  ,Red Hills International Horse Trial (March 2019),3,-84.30026,30.538529999999998,"Gate B, 1775 Miller Landing Road",Elinor Klapp Phipps Park,Tallahassee,FL,32312.0,http://www.RHHT.org
Intermediate Rider,Rocking Horse Winter 1 HT,Nita Sanfilippo,Alarmabull,31.6,2,0,0,31.6,2,0,5:36,0,31.6,1,01/25/2019-01/27/2019,1/25/19,1/27/19,1/25/19,1/27/19,False,Rocking Horse III  ,Rocking Horse Winter 1 HT,3,-81.64143,28.99305,44200 S.R. 19 N,Rocking Horse Farm,Altoona,FL,32702.0,http://www.rockinghorseeventing.com
Junior Preliminary Rider,Stable View Summer Horse Trials,Colette Leber,Willie Wiggins,35.9,4,4,0,39.9,4,0,4:25,0,39.9,2,06/22/2019-06/22/2019,6/22/19,6/22/19,6/22/19,6/22/19,True,Stable View Summer   ,Stable View Summer Horse Trials,3,-81.79998,33.648590000000006,117 Stable Dr,Stable View Farm,Aiken,SC,29801.0,http://stableviewfarm.com
Intermediate,Stable View Spring Horse Trials,Erin Risso,Cobble Creek,31.7,2,12,0,43.7,3,0,5:57,0,43.7,2,6/6/19,6/6/19,,6/6/19,,False,Designer Builders Stable View Spring CCI-S,Stable View Spring Horse Trials,3,-81.79998,33.648590000000006,117 Stable Dr,Stable View Farm,Aiken,SC,29801.0,http://StableViewFarm.com
Dressage Test of Choice,Stable View Schooling Horse Trial,Madigan Murphy,Casofino,31.1,1, ,0:00, , , , , , , ,04/14/2019-04/14/2019,4/14/19,4/14/19,4/14/19,4/14/19,True,Stable View Summer   ,Stable View Schooling Horse Trial,3,-81.79998,33.648590000000006,117 Stable Dr,Stable View Farm,Aiken,SC,29801.0,http://stableviewfarm.com
Modified,Stable View Spring Horse Trials (2019),Nicholas Hinze,Dakota Blues,28.9,2,4,0,32.9,1,0,4:48,0,32.9,1,03/19/2019-03/19/2019,3/19/19,3/19/19,3/19/19,3/19/19,True,Stable View Summer   ,Stable View Spring Horse Trials (2019),3,-81.79998,33.648590000000006,117 Stable Dr,Stable View Farm,Aiken,SC,29801.0,http://stableviewfarm.com
CCI Two Star Short,The Fork at Tryon (April 2019),Ryan Wood,Ruby,33,2,4,0,37,3,0,5:08,0,37,1,04/03/2019-04/07/2019,4/3/19,4/7/19,4/3/19,4/7/19,False,The Fork at TIEC ,The Fork at Tryon (April 2019),2,-82.0669,35.28265,4066 Pea Ridge Rd,Tryon International Equestrian Center,Mill Spring,NC,28756.0,http://www.tryon.com
